seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	11160022	11160156	135	*	X0239	5394	11126676	11159938	33263	-	83	upstream	83	EXOSC10
chr1	11322310	11322414	105	*	X0246	2475	11166588	11322608	156021	-	0	inside	193	MTOR
chr1	11724335	11724679	345	*	X0248	26270	11724150	11734409	10260	+	0	inside	184	FBXO6
chr1	11864961	11865080	120	*	X0256	1185	11866153	11903201	37049	+	1072	upstream	1072	CLCN6
chr1	11866431	11866610	180	*	X0257	1185	11866153	11903201	37049	+	0	inside	277	CLCN6
chr1	11866431	11866610	180	*	X0257	4524	11845787	11866160	20374	-	270	upstream	270	MTHFR
chr1	11994695	11994799	105	*	X0264	5351	11994724	12035599	40876	+	0	overlapStart	0	PLOD1
chr1	11994935	11995039	105	*	X0265	5351	11994724	12035599	40876	+	0	inside	210	PLOD1
chr1	15851047	15851381	335	*	X0332	842	15817324	15851285	33962	-	0	overlapStart	0	CASP9
chr1	15851047	15851381	335	*	X0332	23341	15853352	15918874	65523	+	1970	upstream	1970	DNAJC16
chr1	15851686	15851719	34	*	X0333	842	15817324	15851285	33962	-	400	upstream	400	CASP9
chr1	15851686	15851719	34	*	X0333	23341	15853352	15918874	65523	+	1632	upstream	1632	DNAJC16
chr1	15851810	15851944	135	*	X0334	842	15817324	15851285	33962	-	524	upstream	524	CASP9
chr1	15851810	15851944	135	*	X0334	23341	15853352	15918874	65523	+	1407	upstream	1407	DNAJC16
chr1	15851960	15852064	105	*	X0335	842	15817324	15851285	33962	-	674	upstream	674	CASP9
chr1	15851960	15852064	105	*	X0335	23341	15853352	15918874	65523	+	1287	upstream	1287	DNAJC16
chr1	15853603	15853737	135	*	X0336	23341	15853352	15918874	65523	+	0	inside	250	DNAJC16
chr1	15943360	15943494	135	*	X0337	84301	15943953	15987552	43600	+	458	upstream	458	DDI2
chr1	15943990	15944109	120	*	X0338	84301	15943953	15987552	43600	+	0	inside	36	DDI2
chr1	16010007	16010784	778	*	X0340	23207	16010827	16061264	50438	+	42	upstream	42	PLEKHM2
chr1	16174985	16175044	60	*	X0342	729614	16160710	16174642	13933	-	342	upstream	342	FLJ37453
chr1	16175300	16175449	150	*	X0343	729614	16160710	16174642	13933	-	657	upstream	657	FLJ37453
chr1	16176105	16176209	105	*	X0344	729614	16160710	16174642	13933	-	1462	upstream	1462	FLJ37453
chr1	16301983	16302417	435	*	X0352	7709	16268364	16302627	34264	-	0	inside	209	ZBTB17
chr1	16563794	16563814	21	*	X0356	79363	16558182	16563659	5478	-	134	upstream	134	CPLANE2
chr1	16679678	16679727	50	*	X0357	54455	16576559	16678948	102390	-	729	upstream	729	FBXO42
chr1	16693696	16693815	120	*	X0358	26099	16693525	16724643	31119	+	0	inside	170	SZRD1
chr1	17765870	17765959	90	*	X0378	55920	17733251	17766250	33000	-	0	inside	290	RCC2
chr1	19638246	19638335	90	*	X0402	54896	19638740	19658922	20183	+	404	upstream	404	SLC66A1
chr1	19811548	19811967	420	*	X0411	832	19665267	19812066	146800	-	0	inside	98	CAPZB
chr1	19812398	19812547	150	*	X0412	832	19665267	19812066	146800	-	331	upstream	331	CAPZB
chr1	21113449	21113523	75	*	X0431	50809	21069171	21113799	44629	-	0	inside	275	HP1BP3
chr1	22379391	22379570	180	*	X0454	998	22379120	22419436	40317	+	0	inside	270	CDC42
chr1	23345430	23345444	15	*	X0464	23028	23345941	23410184	64244	+	496	upstream	496	KDM1A
chr1	23670496	23670825	330	*	X0472	10236	23636276	23670853	34578	-	0	inside	27	HNRNPR
chr1	23671126	23671230	105	*	X0473	10236	23636276	23670853	34578	-	272	upstream	272	HNRNPR
chr1	23671711	23671792	82	*	X0474	10236	23636276	23670853	34578	-	857	upstream	857	HNRNPR
chr1	23857735	23857750	16	*	X0481	1870	23832920	23857712	24793	-	22	upstream	22	E2F2
chr1	23886254	23886403	150	*	X0486	3399	23884421	23886285	1865	-	0	overlapStart	0	ID3
chr1	24104766	24104783	18	*	X0505	57095	24104876	24114722	9847	+	92	upstream	92	PITHD1
chr1	24104766	24104783	18	*	X0505	100506963	24086872	24104787	17916	-	0	inside	3	ELOA-AS1
chr1	24105187	24105321	135	*	X0506	100506963	24086872	24104787	17916	-	399	upstream	399	ELOA-AS1
chr1	24117796	24118065	270	*	X0507	11313	24117646	24122029	4384	+	0	inside	149	LYPLA2
chr1	24126996	24127318	323	*	X0511	2582	24122089	24127294	5206	-	0	overlapStart	0	GALE
chr1	24285739	24285948	210	*	X0519	55629	24286301	24289949	3649	+	352	upstream	352	PNRC2
chr1	24514565	24514652	88	*	X0522	163702	24480647	24513765	33119	-	799	upstream	799	IFNLR1
chr1	24968541	24968630	90	*	X0523	10250	24969594	24999772	30179	+	963	upstream	963	SRRM1
chr1	25071485	25071565	81	*	X0531	25932	25071760	25170815	99056	+	194	upstream	194	CLIC4
chr1	25293061	25293165	105	*	X0563	864	25226002	25291612	65611	-	1448	upstream	1448	RUNX3
chr1	25293327	25293461	135	*	X0564	864	25226002	25291612	65611	-	1714	upstream	1714	RUNX3
chr1	25559610	25559714	105	*	X0572	25949	25548767	25559013	10247	-	596	upstream	596	SYF2
chr1	25665118	25665222	105	*	X0576	57035	25568740	25664656	95917	-	461	upstream	461	RSRP1
chr1	26185429	26185623	195	*	X0581	79000	26160497	26185848	25352	-	0	inside	224	AUNIP
chr1	26185924	26186013	90	*	X0582	79000	26160497	26185848	25352	-	75	upstream	75	AUNIP
chr1	26324244	26324408	165	*	X0588	5051	26286258	26324648	38391	-	0	inside	239	PAFAH2
chr1	26560629	26560799	171	*	X0589	64793	26560693	26605299	44607	+	0	overlapStart	0	CEP85
chr1	26642949	26643068	120	*	X0599	1043	26644411	26647014	2604	+	1342	upstream	1342	CD52
chr1	26643202	26643351	150	*	X0600	1043	26644411	26647014	2604	+	1059	upstream	1059	CD52
chr1	26646099	26646203	105	*	X0601	91544	26608773	26644756	35984	-	1342	upstream	1342	UBXN11
chr1	26646219	26646428	210	*	X0602	91544	26608773	26644756	35984	-	1462	upstream	1462	UBXN11
chr1	26798217	26798336	120	*	X0604	3151	26798902	26803133	4232	+	565	upstream	565	HMGN2
chr1	26798677	26798871	195	*	X0605	3151	26798902	26803133	4232	+	30	upstream	30	HMGN2
chr1	26855938	26856019	82	*	X0609	6195	26856249	26901520	45272	+	229	upstream	229	RPS6KA1
chr1	26879627	26879686	60	*	X0613	100302190	26881033	26881084	52	+	1346	upstream	1346	MIR1976
chr1	27022241	27022330	90	*	X0621	8289	27022522	27108601	86080	+	191	upstream	191	ARID1A
chr1	27022406	27022525	120	*	X0622	8289	27022522	27108601	86080	+	0	overlapStart	0	ARID1A
chr1	27022764	27022913	150	*	X0623	8289	27022522	27108601	86080	+	0	inside	241	ARID1A
chr1	27153007	27153201	195	*	X0638	84243	27153201	27182211	29011	+	0	overlapStart	0	ZDHHC18
chr1	27153333	27153383	51	*	X0639	84243	27153201	27182211	29011	+	0	inside	131	ZDHHC18
chr1	27217301	27217405	105	*	X0651	54707	27205873	27216869	10997	-	431	upstream	431	GPN2
chr1	27481247	27481561	315	*	X0659	6548	27425300	27481621	56322	-	0	inside	59	SLC9A1
chr1	27648662	27648691	30	*	X0665	84065	27648636	27662891	14256	+	0	inside	25	TMEM222
chr1	27648662	27648691	30	*	X0665	644961	27650365	27653016	2652	+	1673	upstream	1673	ACTG1P20
chr1	27816581	27816730	150	*	X0675	10163	27730734	27816678	85945	-	0	overlapStart	0	WASF2
chr1	27818426	27818545	120	*	X0676	10163	27730734	27816678	85945	-	1747	upstream	1747	WASF2
chr1	28098689	28098782	94	*	X0699	23673	28099694	28150963	51270	+	911	upstream	911	STX12
chr1	28199079	28199091	13	*	X0702	9473	28199055	28213193	14139	+	0	inside	23	THEMIS2
chr1	28414851	28414970	120	*	X0711	2140	28296855	28415148	118294	-	0	inside	177	EYA3
chr1	28559181	28559315	135	*	X0721	22826	28526790	28559542	32753	-	0	inside	226	DNAJC8
chr1	28879532	28879625	94	*	X0728	54952	28879529	28905057	25529	+	0	inside	2	TRNAU1AP
chr1	28907948	28908082	135	*	X0730	677838	28906276	28906405	130	-	1542	upstream	1542	SNORA61
chr1	28907948	28908082	135	*	X0730	677825	28906893	28907024	132	-	923	upstream	923	SNORA44
chr1	28907948	28908082	135	*	X0730	692073	28907432	28907565	134	-	382	upstream	382	SNORA16A
chr1	29062988	29063107	120	*	X0733	51441	29063133	29096287	33155	+	25	upstream	25	YTHDF2
chr1	29213297	29213446	150	*	X0737	2035	29213603	29446558	232956	+	156	upstream	156	EPB41
chr1	31191545	31191552	8	*	X0746	100129196	31191619	31199593	7975	+	66	upstream	66	MATN1-AS1
chr1	31212869	31212912	44	*	X0748	100616164	31212003	31212079	77	-	789	upstream	789	MIR4420
chr1	31230728	31230847	120	*	X0761	7805	31205315	31230683	25369	-	44	upstream	44	LAPTM5
chr1	31769982	31770116	135	*	X0771	51538	31769842	31837780	67939	+	0	inside	139	ZCCHC17
chr1	31769982	31770116	135	*	X0771	9410	31732415	31769644	37230	-	337	upstream	337	SNRNP40
chr1	32404415	32404534	120	*	X0778	8073	32372022	32403988	31967	-	426	upstream	426	PTP4A2
chr1	32405282	32405371	90	*	X0779	8073	32372022	32403988	31967	-	1293	upstream	1293	PTP4A2
chr1	32478845	32479159	315	*	X0782	10657	32479295	32526460	47166	+	135	upstream	135	KHDRBS1
chr1	32538790	32539209	420	*	X0784	55116	32538503	32568467	29965	+	0	inside	286	TMEM39B
chr1	32645545	32645649	105	*	X0788	200081	32645345	32663886	18542	+	0	inside	199	TXLNA
chr1	32665889	32666008	120	*	X0792	79140	32666202	32670991	4790	+	193	upstream	193	CCDC28B
chr1	32666474	32666668	195	*	X0793	79140	32666202	32670991	4790	+	0	inside	271	CCDC28B
chr1	32687676	32687698	23	*	X0795	56063	32680078	32687926	7849	-	0	inside	227	TMEM234
chr1	32687857	32687961	105	*	X0796	56063	32680078	32687926	7849	-	0	overlapStart	0	TMEM234
chr1	32688247	32688351	105	*	X0797	56063	32680078	32687926	7849	-	320	upstream	320	TMEM234
chr1	32706884	32707018	135	*	X0798	339483	32697261	32707311	10051	-	0	inside	292	MTMR9LP
chr1	32715599	32715733	135	*	X0799	3932	32716840	32751766	34927	+	1106	upstream	1106	LCK
chr1	32716822	32716926	105	*	X0800	3932	32716840	32751766	34927	+	0	overlapStart	0	LCK
chr1	32757650	32757739	90	*	X0803	3065	32757708	32799224	41517	+	0	overlapStart	0	HDAC1
chr1	32757980	32758228	249	*	X0804	3065	32757708	32799224	41517	+	0	inside	271	HDAC1
chr1	32801690	32801714	25	*	X0811	65108	32799430	32801840	2411	-	0	inside	125	MARCKSL1
chr1	32802734	32802838	105	*	X0812	65108	32799430	32801840	2411	-	893	upstream	893	MARCKSL1
chr1	32803139	32803333	195	*	X0813	65108	32799430	32801840	2411	-	1298	upstream	1298	MARCKSL1
chr1	32859704	32859958	255	*	X0817	55108	32830705	32860062	29358	-	0	inside	103	BSDC1
chr1	32860004	32860065	62	*	X0818	55108	32830705	32860062	29358	-	0	overlapStart	0	BSDC1
chr1	33116803	33116892	90	*	X0821	5928	33116749	33151812	35064	+	0	inside	53	RBBP4
chr1	33116803	33116892	90	*	X0821	339487	33065773	33116185	50413	-	617	upstream	617	ZBTB8OS
chr1	33283189	33283428	240	*	X0825	64766	33283043	33324480	41438	+	0	inside	145	S100PBP
chr1	33283189	33283428	240	*	X0825	8565	33240840	33283633	42794	-	0	inside	204	YARS1
chr1	33283759	33283893	135	*	X0826	8565	33240840	33283633	42794	-	125	upstream	125	YARS1
chr1	33721755	33721785	31	*	X0831	149076	33722174	33766320	44147	+	388	upstream	388	ZNF362
chr1	33938367	33938606	240	*	X0841	7579	33938232	33961995	23764	+	0	inside	134	ZSCAN20
chr1	35450860	35450964	105	*	X0847	100506144	35447127	35450948	3822	-	0	overlapStart	0	TMEM35B
chr1	35450860	35450964	105	*	X0847	653160	35441300	35450948	9649	-	0	overlapStart	0	GPR199P
chr1	35497244	35497378	135	*	X0848	9204	35449368	35497569	48202	-	0	inside	190	ZMYM6
chr1	35734854	35735153	300	*	X0853	9202	35734568	35887545	152978	+	0	inside	285	ZMYM4
chr1	36022921	36023085	165	*	X0857	23154	36023393	36032380	8988	+	307	upstream	307	NCDN
chr1	36024099	36024174	76	*	X0858	79932	35899091	36023551	124461	-	547	upstream	547	KIAA0319L
chr1	36184750	36184869	120	*	X0863	127703	36179477	36184790	5314	-	0	overlapStart	0	C1orf216
chr1	36235495	36235614	120	*	X0865	63967	36197713	36235551	37839	-	0	overlapStart	0	CLSPN
chr1	36396292	36396381	90	*	X0870	192669	36396319	36522063	125745	+	0	overlapStart	0	AGO3
chr1	36554161	36554306	146	*	X0872	54936	36554453	36559533	5081	+	146	upstream	146	ADPRS
chr1	36620717	36620857	141	*	X0879	55700	36621803	36646441	24639	+	945	upstream	945	MAP7D1
chr1	36621038	36621157	120	*	X0880	55700	36621803	36646441	24639	+	645	upstream	645	MAP7D1
chr1	36621638	36621727	90	*	X0881	55700	36621803	36646441	24639	+	75	upstream	75	MAP7D1
chr1	36621638	36621727	90	*	X0881	27095	36602170	36621654	19485	-	0	overlapStart	0	TRAPPC3
chr1	36622157	36622411	255	*	X0882	27095	36602170	36621654	19485	-	502	upstream	502	TRAPPC3
chr1	36623337	36623501	165	*	X0883	27095	36602170	36621654	19485	-	1682	upstream	1682	TRAPPC3
chr1	36690179	36690313	135	*	X0889	9967	36690017	36770957	80941	+	0	inside	161	THRAP3
chr1	36851197	36851316	120	*	X0898	83931	36805225	36851485	46261	-	0	inside	168	STK40
chr1	36851467	36851476	10	*	X0899	83931	36805225	36851485	46261	-	0	inside	8	STK40
chr1	36851707	36851826	120	*	X0900	83931	36805225	36851485	46261	-	221	upstream	221	STK40
chr1	36930183	36930302	120	*	X0905	64960	36921362	36930040	8679	-	142	upstream	142	MRPS15
chr1	37940294	37940428	135	*	X0906	80149	37940119	37949978	9860	+	0	inside	174	ZC3H12A
chr1	37940294	37940428	135	*	X0906	728431	37920480	37940044	19565	-	249	upstream	249	LINC01137
chr1	38157528	38157617	90	*	X0912	55143	38158073	38175391	17319	+	455	upstream	455	CDCA8
chr1	38157528	38157617	90	*	X0912	54955	38147242	38157888	10647	-	0	inside	270	C1orf109
chr1	38158458	38158547	90	*	X0913	54955	38147242	38157888	10647	-	569	upstream	569	C1orf109
chr1	38274009	38274218	210	*	X0914	79693	38268614	38273865	5252	-	143	upstream	143	YRDC
chr1	38274249	38274308	60	*	X0915	79693	38268614	38273865	5252	-	383	upstream	383	YRDC
chr1	38274414	38274518	105	*	X0916	79693	38268614	38273865	5252	-	548	upstream	548	YRDC
chr1	38325043	38325147	105	*	X0917	4520	38275239	38325292	50054	-	0	inside	144	MTF1
chr1	38412436	38412630	195	*	X0921	3633	38326369	38412729	86361	-	0	inside	98	INPP5B
chr1	38414182	38414256	75	*	X0922	3633	38326369	38412729	86361	-	1452	upstream	1452	INPP5B
chr1	39456329	39456448	120	*	X0936	79647	39456916	39471737	14822	+	467	upstream	467	AKIRIN1
chr1	39456704	39456707	4	*	X0937	79647	39456916	39471737	14822	+	208	upstream	208	AKIRIN1
chr1	40042201	40042275	75	*	X0962	8761	40026485	40042521	16037	-	0	inside	245	PABPC4
chr1	40204531	40204611	81	*	X0963	10450	40204517	40229586	25070	+	0	inside	13	PPIE
chr1	40204627	40204746	120	*	X0964	10450	40204517	40229586	25070	+	0	inside	109	PPIE
chr1	40420828	40420845	18	*	X0970	84879	40420784	40435628	14845	+	0	inside	43	MFSD2A
chr1	40421071	40421190	120	*	X0971	84879	40420784	40435628	14845	+	0	inside	286	MFSD2A
chr1	40506124	40506213	90	*	X0977	10487	40506255	40538321	32067	+	41	upstream	41	CAP1
chr1	40723898	40723900	3	*	X0983	10269	40723722	40759856	36135	+	0	inside	175	ZMPSTE24
chr1	40942988	40943137	150	*	X0996	339559	40943302	40962015	18714	+	164	upstream	164	ZFP69
chr1	41158014	41158103	90	*	X0997	100130557	41154752	41157933	3182	-	80	upstream	80	NFYC-AS1
chr1	41445260	41445349	90	*	X1004	1503	41445007	41478235	33229	+	0	inside	252	CTPS1
chr1	41707948	41708103	156	*	X1012	22955	41492871	41707815	214945	-	132	upstream	132	SCMH1
chr1	41952318	41952422	105	*	X1013	1907	41944446	41950344	5899	-	1973	upstream	1973	EDN2
chr1	42501306	42501410	105	*	X1030	59269	41972036	42501596	529561	-	0	inside	185	HIVEP3
chr1	42501516	42501522	7	*	X1031	59269	41972036	42501596	529561	-	0	inside	73	HIVEP3
chr1	42801171	42801290	120	*	X1040	22887	42642210	42801548	159339	-	0	inside	257	FOXJ3
chr1	43148214	43148303	90	*	X1041	4904	43148066	43168020	19955	+	0	inside	147	YBX1
chr1	43231611	43231724	114	*	X1047	79078	43232916	43241413	8498	+	1191	upstream	1191	C1orf50
chr1	43232010	43232114	105	*	X1048	79078	43232916	43241413	8498	+	801	upstream	801	C1orf50
chr1	43282763	43282784	22	*	X1049	114625	43282776	43310660	27885	+	0	overlapStart	0	ERMAP
chr1	43282763	43282784	22	*	X1049	374969	43272723	43283059	10337	-	0	inside	274	SVBP
chr1	43312436	43312720	285	*	X1050	51058	43312244	43318146	5903	+	0	inside	191	ZNF691
chr1	43423335	43423514	180	*	X1065	440584	43424720	43449029	24310	+	1205	upstream	1205	SLC2A1-AS1
chr1	43424751	43424764	14	*	X1066	440584	43424720	43449029	24310	+	0	inside	30	SLC2A1-AS1
chr1	43424751	43424764	14	*	X1066	6513	43391046	43424847	33802	-	0	inside	82	SLC2A1
chr1	43823780	43823839	60	*	X1074	991	43824626	43828873	4248	+	786	upstream	786	CDC20
chr1	43824315	43824394	80	*	X1075	991	43824626	43828873	4248	+	231	upstream	231	CDC20
chr1	43824710	43824799	90	*	X1076	991	43824626	43828873	4248	+	0	inside	83	CDC20
chr1	43833275	43833619	345	*	X1079	64834	43829068	43833745	4678	-	0	inside	125	ELOVL1
chr1	43833680	43833874	195	*	X1080	64834	43829068	43833745	4678	-	0	overlapStart	0	ELOVL1
chr1	43855155	43855289	135	*	X1081	23334	43855556	43919918	64363	+	266	upstream	266	SZT2
chr1	43855155	43855289	135	*	X1081	112950	43849579	43855483	5905	-	0	inside	193	MED8
chr1	43855657	43855746	90	*	X1082	23334	43855556	43919918	64363	+	0	inside	100	SZT2
chr1	43855657	43855746	90	*	X1082	112950	43849579	43855483	5905	-	173	upstream	173	MED8
chr1	43919581	43919595	15	*	X1086	81888	43916674	43919660	2987	-	0	inside	64	HYI
chr1	44115969	44116083	115	*	X1087	9682	44115797	44171189	55393	+	0	inside	171	KDM4A
chr1	44439997	44440101	105	*	X1100	533	44440602	44443972	3371	+	500	upstream	500	ATP6V0B
chr1	44444372	44444480	109	*	X1102	8704	44444874	44456843	11970	+	393	upstream	393	B4GALT2
chr1	44679237	44679326	90	*	X1104	55929	44679125	44686351	7227	+	0	inside	111	DMAP1
chr1	45139876	45139987	112	*	X1110	339541	45140394	45191263	50870	+	406	upstream	406	ARMH1
chr1	45139876	45139987	112	*	X1110	79639	45119501	45140099	20599	-	0	inside	111	TMEM53
chr1	45141008	45141097	90	*	X1111	79639	45119501	45140099	20599	-	908	upstream	908	TMEM53
chr1	45265882	45266091	210	*	X1116	1263	45266036	45271667	5632	+	0	overlapStart	0	PLK3
chr1	45273577	45273666	90	*	X1119	149478	45274154	45279801	5648	+	487	upstream	487	BTBD19
chr1	45273577	45273666	90	*	X1119	343521	45271586	45272957	1372	-	619	upstream	619	TCTEX1D4
chr1	45274109	45274213	105	*	X1120	149478	45274154	45279801	5648	+	0	overlapStart	0	BTBD19
chr1	45274109	45274213	105	*	X1120	343521	45271586	45272957	1372	-	1151	upstream	1151	TCTEX1D4
chr1	45476114	45476170	57	*	X1124	7389	45477805	45481341	3537	+	1634	upstream	1634	UROD
chr1	45478466	45478555	90	*	X1125	79654	45468220	45477027	8808	-	1438	upstream	1438	HECTD3
chr1	45769472	45769687	216	*	X1127	400752	45769582	45771291	1710	+	0	overlapStart	0	LINC01144
